Time,Pressure,Temperature,Mictime
0.010000,1005.832336,25.139999,0.062500
0.020000,1005.824768,25.129999,0.062500
0.030000,1005.798096,25.129999,0.093750
0.040000,1005.806091,25.129999,0.093750
0.050000,1005.814087,25.139999,0.093750
0.060000,1005.822266,25.129999,0.125000
0.070000,1005.827759,25.139999,0.125000
0.080000,1005.818604,25.129999,0.125000
0.090000,1005.820435,25.139999,0.156250
0.100000,1005.812256,25.139999,0.156250
0.110000,1005.809265,25.129999,0.156250
0.120000,1005.826843,25.129999,0.187500
0.130000,1005.830017,25.139999,0.187500
0.140000,1005.841248,25.139999,0.187500
0.150000,1005.827271,25.139999,0.218750
0.160000,1005.808105,25.129999,0.218750
0.170000,1005.806091,25.129999,0.218750
0.180000,1005.814514,25.129999,0.250000
0.190000,1005.830750,25.129999,0.250000
0.200000,1005.842346,25.129999,0.250000
0.210000,1005.825928,25.129999,0.281250
0.220000,1005.847168,25.139999,0.281250
0.230000,1005.834839,25.129999,0.281250
0.240000,1005.843262,25.129999,0.281250
0.250000,1005.828430,25.129999,0.312500
0.260000,1005.842163,25.129999,0.312500
0.270000,1005.837341,25.129999,0.312500
0.280000,1005.833923,25.129999,0.343750
0.290000,1005.831421,25.129999,0.343750
0.300000,1005.812927,25.129999,0.343750
0.310000,1005.806519,25.129999,0.375000
0.320000,1005.829102,25.129999,0.375000
0.330000,1005.834595,25.129999,0.375000
0.340000,1005.837341,25.139999,0.406250
0.350000,1005.848267,25.129999,0.406250
0.360000,1005.856506,25.139999,0.406250
0.370000,1005.862244,25.129999,0.437500
0.380000,1005.842163,25.129999,0.437500
0.390000,1005.836670,25.129999,0.437500
0.400000,1005.838257,25.129999,0.468750
0.410000,1005.859009,25.139999,0.468750
0.420000,1005.824585,25.139999,0.468750
0.430000,1005.821838,25.139999,0.500000
0.440000,1005.807434,25.129999,0.500000
0.450000,1005.805603,25.129999,0.500000
0.460000,1005.834351,25.139999,0.500000
0.470000,1005.816589,25.139999,0.531250
0.480000,1005.825012,25.129999,0.531250
0.490000,1005.822021,25.139999,0.531250
0.500000,1005.815186,25.129999,0.562500
0.510000,1005.813354,25.129999,0.562500
0.520000,1005.837097,25.129999,0.562500
0.530000,1005.830017,25.139999,0.593750
0.540000,1005.819092,25.129999,0.593750
0.550000,1005.821106,25.139999,0.593750
0.560000,1005.819092,25.139999,0.625000
0.570000,1005.813171,25.139999,0.625000
0.580000,1005.822510,25.129999,0.625000
0.590000,1005.811523,25.129999,0.656250
0.600000,1005.803345,25.139999,0.656250
0.610000,1005.824768,25.139999,0.656250
0.620000,1005.818176,25.139999,0.687500
0.630000,1005.839844,25.139999,0.687500
0.640000,1005.854675,25.129999,0.687500
0.650000,1005.876404,25.139999,0.718750
0.660000,1005.861755,25.139999,0.718750
0.670000,1005.842834,25.139999,0.718750
0.680000,1005.850586,25.129999,0.750000
0.690000,1005.856506,25.139999,0.750000
0.700000,1005.835754,25.129999,0.750000
0.710000,1005.838684,25.139999,0.750000
0.720000,1005.839417,25.139999,0.781250
0.730000,1005.833435,25.139999,0.781250
0.740000,1005.831421,25.129999,0.781250
0.750000,1005.844666,25.129999,0.812500
0.760000,1005.832336,25.139999,0.812500
0.770000,1005.847595,25.129999,0.812500
0.780000,1005.834167,25.139999,0.843750
0.790000,1005.817261,25.139999,0.843750
0.800000,1005.806519,25.129999,0.843750
0.810000,1005.806763,25.129999,0.875000
0.820000,1005.810608,25.129999,0.875000
0.830000,1005.813354,25.139999,0.875000
0.840000,1005.811096,25.139999,0.906250
0.850000,1005.830505,25.139999,0.906250
0.860000,1005.845337,25.129999,0.906250
0.870000,1005.856750,25.139999,0.937500
0.880000,1005.845337,25.139999,0.937500
0.890000,1005.829590,25.139999,0.937500
0.900000,1005.812012,25.139999,0.968750
0.910000,1005.807007,25.139999,0.968750
0.920000,1005.817932,25.139999,0.968750
0.930000,1005.810852,25.139999,0.968750
0.940000,1005.809692,25.139999,1.000000
0.950000,1005.809509,25.139999,1.000000
0.960000,1005.796021,25.139999,1.000000
0.970000,1005.798096,25.139999,1.031250
0.980000,1005.798279,25.139999,1.031250
0.990000,1005.798279,25.129999,1.031250
1.010000,1005.801025,25.139999,1.062500
1.020000,1005.827759,25.139999,1.062500
1.030000,1005.827759,25.139999,1.093750
1.040000,1005.847168,25.139999,1.093750
1.050000,1005.843933,25.139999,1.093750
1.060000,1005.848083,25.139999,1.125000
1.070000,1005.844666,25.139999,1.125000
1.080000,1005.829102,25.139999,1.125000
1.090000,1005.833679,25.139999,1.156250
1.100000,1005.838257,25.139999,1.156250
1.110000,1005.838684,25.139999,1.156250
1.120000,1005.828186,25.139999,1.187500
1.130000,1005.828186,25.139999,1.187500
1.140000,1005.828003,25.139999,1.187500
1.150000,1005.807190,25.139999,1.187500
1.160000,1005.829590,25.139999,1.218750
1.170000,1005.843933,25.139999,1.218750
1.180000,1005.841431,25.139999,1.218750
1.190000,1005.836182,25.139999,1.250000
1.200000,1005.838928,25.139999,1.250000
1.210000,1005.848755,25.139999,1.250000
1.220000,1005.849182,25.139999,1.281250
1.230000,1005.832764,25.139999,1.281250
1.240000,1005.868408,25.139999,1.281250
1.250000,1005.854431,25.139999,1.312500
1.260000,1005.846497,25.139999,1.312500
1.270000,1005.859741,25.139999,1.312500
1.280000,1005.862427,25.139999,1.343750
1.290000,1005.869507,25.139999,1.343750
1.300000,1005.863159,25.139999,1.343750
1.310000,1005.851929,25.139999,1.375000
1.320000,1005.844421,25.139999,1.375000
1.330000,1005.843750,25.139999,1.375000
1.340000,1005.847839,25.139999,1.406250
1.350000,1005.845581,25.139999,1.406250
1.360000,1005.838684,25.139999,1.406250
1.370000,1005.830933,25.129999,1.437500
1.380000,1005.830933,25.129999,1.437500
1.390000,1005.833252,25.139999,1.437500
1.400000,1005.845764,25.139999,1.437500
1.410000,1005.873169,25.139999,1.468750
1.420000,1005.866577,25.129999,1.468750
1.430000,1005.855347,25.139999,1.468750
1.440000,1005.858337,25.139999,1.500000
1.450000,1005.838928,25.139999,1.500000
1.460000,1005.842834,25.139999,1.500000
1.470000,1005.849426,25.139999,1.531250
1.480000,1005.835266,25.139999,1.531250
1.490000,1005.838684,25.139999,1.531250
1.500000,1005.833679,25.139999,1.562500
1.510000,1005.834839,25.129999,1.562500
1.520000,1005.823181,25.139999,1.562500
1.530000,1005.837585,25.139999,1.593750
1.540000,1005.847839,25.139999,1.593750
1.550000,1005.861511,25.139999,1.593750
1.560000,1005.853577,25.139999,1.625000
1.570000,1005.857422,25.139999,1.625000
1.580000,1005.862915,25.139999,1.625000
1.590000,1005.853760,25.139999,1.656250
1.600000,1005.865173,25.139999,1.656250
1.610000,1005.857178,25.139999,1.656250
1.620000,1005.852844,25.139999,1.656250
1.630000,1005.841675,25.139999,1.687500
1.640000,1005.839417,25.139999,1.687500
1.650000,1005.831177,25.139999,1.687500
1.660000,1005.832520,25.139999,1.718750
1.670000,1005.824585,25.139999,1.718750
1.680000,1005.825256,25.139999,1.718750
1.690000,1005.829102,25.139999,1.750000
1.700000,1005.827087,25.139999,1.750000
1.710000,1005.827087,25.139999,1.750000
1.720000,1005.844421,25.139999,1.781250
1.730000,1005.812927,25.139999,1.781250
1.740000,1005.825439,25.139999,1.781250
1.750000,1005.846008,25.139999,1.812500
1.760000,1005.863342,25.139999,1.812500
1.770000,1005.849426,25.139999,1.812500
1.780000,1005.843933,25.139999,1.843750
1.790000,1005.840332,25.139999,1.843750
1.800000,1005.830933,25.139999,1.843750
1.810000,1005.835999,25.139999,1.875000
1.820000,1005.841248,25.139999,1.875000
1.830000,1005.832764,25.139999,1.875000
1.840000,1005.836182,25.139999,1.875000
1.850000,1005.824097,25.139999,1.906250
1.860000,1005.847412,25.139999,1.906250
1.870000,1005.834839,25.139999,1.906250
1.880000,1005.847168,25.139999,1.937500
1.890000,1005.862915,25.139999,1.937500
1.900000,1005.866760,25.139999,1.937500
1.910000,1005.841675,25.139999,1.968750
1.920000,1005.827759,25.139999,1.968750
1.930000,1005.830505,25.139999,1.968750
1.940000,1005.822510,25.139999,2.000000
1.950000,1005.814270,25.139999,2.000000
1.960000,1005.821594,25.139999,2.000000
1.970000,1005.827759,25.139999,2.031250
1.980000,1005.831177,25.139999,2.031250
1.990000,1005.823669,25.139999,2.031250
2.010000,1005.830505,25.139999,2.062500
2.020000,1005.822021,25.139999,2.062500
2.030000,1005.830750,25.139999,2.093750
2.040000,1005.822754,25.139999,2.093750
2.050000,1005.827759,25.139999,2.093750
2.060000,1005.829590,25.139999,2.125000
2.070000,1005.838013,25.139999,2.125000
2.080000,1005.831848,25.139999,2.125000
2.090000,1005.828674,25.139999,2.125000
2.100000,1005.817688,25.139999,2.156250
2.110000,1005.857910,25.139999,2.156250
2.120000,1005.844421,25.139999,2.156250
2.130000,1005.836670,25.139999,2.187500
2.140000,1005.849670,25.139999,2.187500
2.150000,1005.844177,25.139999,2.187500
2.160000,1005.832764,25.139999,2.218750
2.170000,1005.839172,25.139999,2.218750
2.180000,1005.814758,25.139999,2.218750
2.190000,1005.812683,25.139999,2.250000
2.200000,1005.835999,25.139999,2.250000
2.210000,1005.859009,25.139999,2.250000
2.220000,1005.864746,25.139999,2.281250
2.230000,1005.846252,25.139999,2.281250
2.240000,1005.846497,25.139999,2.281250
2.250000,1005.849426,25.139999,2.312500
2.260000,1005.834167,25.139999,2.312500
2.270000,1005.852661,25.139999,2.312500
2.280000,1005.856995,25.139999,2.343750
2.290000,1005.853088,25.139999,2.343750
2.300000,1005.853577,25.139999,2.343750
2.310000,1005.851257,25.139999,2.343750
2.320000,1005.867249,25.139999,2.375000
2.330000,1005.862427,25.139999,2.375000
2.340000,1005.851501,25.139999,2.375000
2.350000,1005.855835,25.139999,2.406250
2.360000,1005.846924,25.139999,2.406250
2.370000,1005.860168,25.139999,2.406250
2.380000,1005.858826,25.139999,2.437500
2.390000,1005.853577,25.139999,2.437500
2.400000,1005.855164,25.139999,2.437500
2.410000,1005.852417,25.139999,2.468750
2.420000,1005.850830,25.139999,2.468750
2.430000,1005.860168,25.139999,2.468750
2.440000,1005.834595,25.139999,2.500000
2.450000,1005.852173,25.139999,2.500000
2.460000,1005.860840,25.139999,2.500000
2.470000,1005.844666,25.139999,2.531250
2.480000,1005.852844,25.139999,2.531250
2.490000,1005.858582,25.139999,2.531250
2.550000,1005.856506,25.139999,2.593750
2.560000,1005.859741,25.139999,2.593750
2.570000,1005.851929,25.139999,2.625000
2.580000,1005.832520,25.139999,2.625000
2.590000,1005.822754,25.139999,2.625000
2.600000,1005.827759,25.139999,2.656250
2.610000,1005.822266,25.139999,2.656250
2.620000,1005.828674,25.139999,2.656250
2.630000,1005.847168,25.139999,2.687500
2.640000,1005.867676,25.139999,2.687500
2.650000,1005.845764,25.139999,2.687500
2.660000,1005.852844,25.139999,2.718750
2.670000,1005.849670,25.139999,2.718750
2.680000,1005.847412,25.139999,2.718750
2.690000,1005.837769,25.139999,2.750000
2.700000,1005.837341,25.139999,2.750000
2.710000,1005.859253,25.139999,2.750000
